Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
485,16187341.0,CC(=CCN1CCN(CC1CCO)CC2=CC=C(C=C2)NC(=O)C)C,>51.8 [ug/mL] (The mean of the results at pH 7.4),>51.8 [ug/mL] (The mean of the results at pH 7.4)
486,16187349.0,CCOC(=O)C1(CCN(CC1)C(=O)C2=C(N=CO2)C)CC3CC3,>48.1 [ug/mL] (The mean of the results at pH 7.4),>48.1 [ug/mL] (The mean of the results at pH 7.4)
487,16187374.0,CC1=CC=CC=C1CC2(CCCN(C2)CC3=CC=C(S3)C)CO,48.6 [ug/mL] (The mean of the results at pH 7.4),48.6 [ug/mL] (The mean of the results at pH 7.4)
488,16187378.0,CC1=CC(=CC=C1)OCC2CCCN(C2)CC3=NC(=NO3)C4CC4,12.8 [ug/mL] (The mean of the results at pH 7.4),12.8 [ug/mL] (The mean of the results at pH 7.4)
489,16187387.0,CC(C)C(C1=NN=NN1CCOC)N2CCSCC2.Cl,44.5 [ug/mL] (The mean of the results at pH 7.4),44.5 [ug/mL] (The mean of the results at pH 7.4)
490,16187388.0,CC1CCCN(C1)C(C2=NN=NN2CCOC)C(C)C.Cl,45.8 [ug/mL] (The mean of the results at pH 7.4),45.8 [ug/mL] (The mean of the results at pH 7.4)
491,16187393.0,COCCN1C(=NN=N1)CN2CCSCC2.Cl,28.3 [ug/mL] (The mean of the results at pH 7.4),28.3 [ug/mL] (The mean of the results at pH 7.4)
492,16187399.0,C[N+]1(CCCCC1)CCOC.[I-],>42.8 [ug/mL] (The mean of the results at pH 7.4),>42.8 [ug/mL] (The mean of the results at pH 7.4)
493,16187402.0,CC(C)CN1CCNC(=O)C1CC(=O)NCC2=CN(N=C2)C3=CC(=CC=C3)F,35.1 [ug/mL] (The mean of the results at pH 7.4),35.1 [ug/mL] (The mean of the results at pH 7.4)
494,16187407.0,CCN(CC)CCC(C)OC(=O)C1=C(C=C(C=C1)O)O.Cl,>47.7 [ug/mL] (The mean of the results at pH 7.4),>47.7 [ug/mL] (The mean of the results at pH 7.4)
495,16187411.0,COC1=CC=CC(=C1OCC2=CC=C(C=C2)Cl)CNCCO.Cl,>53.7 [ug/mL] (The mean of the results at pH 7.4),>53.7 [ug/mL] (The mean of the results at pH 7.4)
496,16187430.0,C1CCC(CC1)C2=CC=C(C=C2)OCCN.Cl,30.5 [ug/mL] (The mean of the results at pH 7.4),30.5 [ug/mL] (The mean of the results at pH 7.4)
497,16187454.0,CC(CCN1C=CC=N1)NC(=O)CCC2=NN=C(O2)C3CCCCC3,>51.8 [ug/mL] (The mean of the results at pH 7.4),>51.8 [ug/mL] (The mean of the results at pH 7.4)
498,16187471.0,COC1=CC(=C(C=C1)OC)CC2=NN=C(O2)CCC(=O)N3CCCCCC3,>56 [ug/mL] (The mean of the results at pH 7.4),>56 [ug/mL] (The mean of the results at pH 7.4)
499,16187472.0,CC1=CC=C(S1)C2=NC(=C(O2)C)CN(C)C3CCOC3,>43.9 [ug/mL] (The mean of the results at pH 7.4),>43.9 [ug/mL] (The mean of the results at pH 7.4)
500,16187484.0,CC(C)C1=C(C(=NO1)C(=O)N2CCN(CC2)C3=CC=CC=C3)[N+](=O)[O-],1.9 [ug/mL] (The mean of the results at pH 7.4),1.9 [ug/mL] (The mean of the results at pH 7.4)
501,16187486.0,CC(C)C1=C(C(=NO1)C(=O)N2CCC(CC2)C(=O)N)[N+](=O)[O-],>46.5 [ug/mL] (The mean of the results at pH 7.4),>46.5 [ug/mL] (The mean of the results at pH 7.4)
502,16187492.0,COC1=CC=C(C=C1)C(=O)N2CCN(CC2)CC3=NC(=NO3)CC4CC4,>53.5 [ug/mL] (The mean of the results at pH 7.4),>53.5 [ug/mL] (The mean of the results at pH 7.4)
503,16187512.0,CC1=CC(=CC(=C1OC)C)C(=O)C2CCCN(C2)C(=O)C3=NN4C(=CC(=NC4=C3)C)C,>63.1 [ug/mL] (The mean of the results at pH 7.4),>63.1 [ug/mL] (The mean of the results at pH 7.4)
504,16187516.0,C1CC(CN(C1)CC2=C(NN=C2)C3=C(C=C(C=C3)F)F)CCCO,37.1 [ug/mL] (The mean of the results at pH 7.4),37.1 [ug/mL] (The mean of the results at pH 7.4)
505,16187550.0,CC(C)CN1CCN(CC1CCO)CC#CC2=CC=CC=C2,43.6 [ug/mL] (The mean of the results at pH 7.4),43.6 [ug/mL] (The mean of the results at pH 7.4)
506,16187551.0,CC(CC1=CSC=C1)NC(=O)CCC2=NN=C(O2)COC3=CC=CC=C3,48.9 [ug/mL] (The mean of the results at pH 7.4),48.9 [ug/mL] (The mean of the results at pH 7.4)
507,16187552.0,CC1=CC(=NN1CC(C)NCC2=C(NN=C2)C3=CC=CC4=CC=CC=C43)C,35.3 [ug/mL] (The mean of the results at pH 7.4),35.3 [ug/mL] (The mean of the results at pH 7.4)
508,16187589.0,CC1=C(N=C(O1)C2=CC(=CC=C2)C(F)(F)F)CN3CCOCC3,44.3 [ug/mL] (The mean of the results at pH 7.4),44.3 [ug/mL] (The mean of the results at pH 7.4)
509,16187595.0,CC(C)(C)C1=CC=C(C=C1)C(=O)C2CCCN(C2)C3CCC3,37.9 [ug/mL] (The mean of the results at pH 7.4),37.9 [ug/mL] (The mean of the results at pH 7.4)
510,16187596.0,CCOC(=O)C1(CCN(CC1)C(=O)C2=C(N=CC=C2)C)CC3CC3,>49.6 [ug/mL] (The mean of the results at pH 7.4),>49.6 [ug/mL] (The mean of the results at pH 7.4)
511,16187600.0,CC(C)(C)C1C2=C(CCN1C(=O)CCOC)C3=CC=CC=C3N2,>47.2 [ug/mL] (The mean of the results at pH 7.4),>47.2 [ug/mL] (The mean of the results at pH 7.4)
512,16187614.0,COC1=CC=CC=C1CNN.Cl,17.5 [ug/mL] (The mean of the results at pH 7.4),17.5 [ug/mL] (The mean of the results at pH 7.4)
513,16187615.0,CC1=C(SC=C1)CNC.Cl,>26.7 [ug/mL] (The mean of the results at pH 7.4),>26.7 [ug/mL] (The mean of the results at pH 7.4)
514,16187635.0,CCOC(=O)C1(CCCN(C1)C2CCCC2)CC3=CC=CC=C3,>47.3 [ug/mL] (The mean of the results at pH 7.4),>47.3 [ug/mL] (The mean of the results at pH 7.4)
515,16187639.0,C1CC1CC2=NOC(=N2)CN3CCC(C3)C4=CC(=CC=C4)Cl,12.3 [ug/mL] (The mean of the results at pH 7.4),12.3 [ug/mL] (The mean of the results at pH 7.4)
516,16187644.0,COC1=C(C=C(C=C1)C(=O)C2CCCN(C2)C(=O)C3=CCCC3)OC,>51.5 [ug/mL] (The mean of the results at pH 7.4),>51.5 [ug/mL] (The mean of the results at pH 7.4)
517,16187651.0,COC1=CC=CC(=C1OC)CNCCC2=CNC3=CC=CC=C32.Cl,>52 [ug/mL] (The mean of the results at pH 7.4),>52 [ug/mL] (The mean of the results at pH 7.4)
518,16187655.0,CC1=CC=CC=C1OCCCC2=C(NN=C2C)C.Cl,25 [ug/mL] (The mean of the results at pH 7.4),25 [ug/mL] (The mean of the results at pH 7.4)
519,16187657.0,CC1CCC(CC1)C(=O)NC(C(C)C)C(=O)NCCC2=CC=CC=C2,2.3 [ug/mL] (The mean of the results at pH 7.4),2.3 [ug/mL] (The mean of the results at pH 7.4)
520,16187659.0,CCCCN(C)CCNC(=O)C(C(C)C)NC(=O)C1CCC(CC1)C,>53 [ug/mL] (The mean of the results at pH 7.4),>53 [ug/mL] (The mean of the results at pH 7.4)
521,16187662.0,CC1CCN(CC1)CC(=O)N2C(CC3=CC=CC=C32)C.Cl,>46.3 [ug/mL] (The mean of the results at pH 7.4),>46.3 [ug/mL] (The mean of the results at pH 7.4)
522,16187684.0,C1=C(C=NC(=C1Br)N)[N+](=O)[O-].Br,>44.8 [ug/mL] (The mean of the results at pH 7.4),>44.8 [ug/mL] (The mean of the results at pH 7.4)
523,16187694.0,COCC(=O)N1CCCC(C1)CNS(=O)(=O)C2=CC=C(C=C2)OC,>53.5 [ug/mL] (The mean of the results at pH 7.4),>53.5 [ug/mL] (The mean of the results at pH 7.4)
524,16187707.0,CC1=CC=C(O1)CN2CCN(CC2CCO)CC3=CC=C(C=C3)O,>49.6 [ug/mL] (The mean of the results at pH 7.4),>49.6 [ug/mL] (The mean of the results at pH 7.4)
525,16187733.0,C1CN(C(CN1CC2=CC(=CC=C2)O)CCO)CCC3=CC=CC=C3,50.8 [ug/mL] (The mean of the results at pH 7.4),50.8 [ug/mL] (The mean of the results at pH 7.4)
526,16187744.0,CC1CC(CN(C1)C2=NC=NC3=C2C=NN3C)C,>36.8 [ug/mL] (The mean of the results at pH 7.4),>36.8 [ug/mL] (The mean of the results at pH 7.4)
527,16187771.0,CCOC1=CC=CC(=C1O)CN2CCN(C(C2)CCO)CC3=CC=C(O3)C,>56.2 [ug/mL] (The mean of the results at pH 7.4),>56.2 [ug/mL] (The mean of the results at pH 7.4)
528,16187791.0,C1CCC(CC1)CCC2=NN=C(O2)CCC(=O)NCCN3C=CC=N3,44.5 [ug/mL] (The mean of the results at pH 7.4),44.5 [ug/mL] (The mean of the results at pH 7.4)
529,16187792.0,CC(C)CN1CCN(CC1CCO)CC2=CC=CC=C2C(F)(F)F,48.7 [ug/mL] (The mean of the results at pH 7.4),48.7 [ug/mL] (The mean of the results at pH 7.4)
530,16187795.0,CC1=CC=C(O1)CN2CCC(CC2)(CC3CCCCO3)CO,>46.1 [ug/mL] (The mean of the results at pH 7.4),>46.1 [ug/mL] (The mean of the results at pH 7.4)
531,16187797.0,CC1=C(SC=C1)C2=NC(=C(O2)C)CN3CCCC3C4=CC=C(C=C4)F,14.9 [ug/mL] (The mean of the results at pH 7.4),14.9 [ug/mL] (The mean of the results at pH 7.4)
532,16187799.0,COC1=CC(=C(C=C1)C2=C(C=NN2)CN3CCSCC3)OC,40.8 [ug/mL] (The mean of the results at pH 7.4),40.8 [ug/mL] (The mean of the results at pH 7.4)
533,16187830.0,C1CCC(CC1)C2=NN=C(O2)CCC(=O)NCC3=CC(=C(C=C3)F)F,>52.4 [ug/mL] (The mean of the results at pH 7.4),>52.4 [ug/mL] (The mean of the results at pH 7.4)
534,16187831.0,CCOC(=O)C1(CCN(CC1)CC2=CC=NC=C2)CCOC,>46 [ug/mL] (The mean of the results at pH 7.4),>46 [ug/mL] (The mean of the results at pH 7.4)
535,16187837.0,CC(C)(C)N1C(=C2CS(=O)(=O)CC2=N1)NC(=O)C3=CC4=CC=CC=C4O3,32.1 [ug/mL] (The mean of the results at pH 7.4),32.1 [ug/mL] (The mean of the results at pH 7.4)
536,16187848.0,C1CSCCN1CC2=NC(=NO2)CC3=CC(=CC=C3)F,>44 [ug/mL] (The mean of the results at pH 7.4),>44 [ug/mL] (The mean of the results at pH 7.4)
537,16187873.0,CC(C1=CC=CC=C1)NC2=C(C(=O)OC3=CC=CC=C32)[N+](=O)[O-],8.8 [ug/mL] (The mean of the results at pH 7.4),8.8 [ug/mL] (The mean of the results at pH 7.4)
538,16187910.0,CCCS(=O)(=O)N1CCCC(C1)C(=O)C2=CC(=CC=C2)Cl,44.7 [ug/mL] (The mean of the results at pH 7.4),44.7 [ug/mL] (The mean of the results at pH 7.4)
539,16187911.0,CCCS(=O)(=O)N1CCCC(C1)C(=O)C2=CC=CC=C2OC,>48.8 [ug/mL] (The mean of the results at pH 7.4),>48.8 [ug/mL] (The mean of the results at pH 7.4)
540,16187918.0,C1CCOC(C1)CC2(CCN(CC2)CC3=CC(=CC=C3)O)CO,47.3 [ug/mL] (The mean of the results at pH 7.4),47.3 [ug/mL] (The mean of the results at pH 7.4)
541,16187920.0,CN(C)S(=O)(=O)N1CCCC(C1)C(=O)C2=CC=CC=C2SC,>51.4 [ug/mL] (The mean of the results at pH 7.4),>51.4 [ug/mL] (The mean of the results at pH 7.4)
542,16187929.0,C(CCC1=NN=C(O1)SCC(=O)N)CCN.Cl,>42.1 [ug/mL] (The mean of the results at pH 7.4),>42.1 [ug/mL] (The mean of the results at pH 7.4)
543,16187930.0,CSC1=NN=C(O1)[C@H](CC2=CNC3=CC=CC=C32)N.Cl,42.2 [ug/mL] (The mean of the results at pH 7.4),42.2 [ug/mL] (The mean of the results at pH 7.4)
544,16187939.0,CCOC(=O)C1(CCN(CC1)S(=O)(=O)/C=C/C2=CC=CC=C2)CC3CC3,3.6 [ug/mL] (The mean of the results at pH 7.4),3.6 [ug/mL] (The mean of the results at pH 7.4)
545,16187955.0,CC1=C(SC=C1)C(=O)C2CCCN(C2)CC3=CC=C(C=C3)O,36.8 [ug/mL] (The mean of the results at pH 7.4),36.8 [ug/mL] (The mean of the results at pH 7.4)
546,16187957.0,CCC(=O)OCCNC1=NC(=NC2=CC=CC=C21)C3=CC=CC=C3.Cl,5.3 [ug/mL] (The mean of the results at pH 7.4),5.3 [ug/mL] (The mean of the results at pH 7.4)
547,16187989.0,CCOC1C(=C(C(=O)O1)Cl)NC2=CC=C(C=C2)C,>40.2 [ug/mL] (The mean of the results at pH 7.4),>40.2 [ug/mL] (The mean of the results at pH 7.4)
548,16187995.0,CC(C)CC1=CC(=NO1)C(=O)NC2=CC=C(C=C2)Br,<0.3 [ug/mL] (The mean of the results at pH 7.4),<0.3 [ug/mL] (The mean of the results at pH 7.4)
549,16187996.0,CCCNC(=O)C1=NOC2=C1CCC3=C2C=CC(=C3)OC,5.6 [ug/mL] (The mean of the results at pH 7.4),5.6 [ug/mL] (The mean of the results at pH 7.4)
550,16188014.0,CCCC[N+]1=CC(=N)O[N-]1.Cl,21.7 [ug/mL] (The mean of the results at pH 7.4),21.7 [ug/mL] (The mean of the results at pH 7.4)
551,16188020.0,C1CCC(CC1)NC(=O)C2=NOC(=C2)C3CC3,>35.1 [ug/mL] (The mean of the results at pH 7.4),>35.1 [ug/mL] (The mean of the results at pH 7.4)
552,16188038.0,C[C@@H]1CC2(CCCC[N+]2(C)C)C[C@H]1C.[I-],>48.5 [ug/mL] (The mean of the results at pH 7.4),>48.5 [ug/mL] (The mean of the results at pH 7.4)
553,16188041.0,CC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C(C)C,>41.9 [ug/mL] (The mean of the results at pH 7.4),>41.9 [ug/mL] (The mean of the results at pH 7.4)
554,16188059.0,COC1=CC(=C(C=C1)O)CN2CCN(C(C2)CCO)CCC3=CC=CC=C3,54 [ug/mL] (The mean of the results at pH 7.4),54 [ug/mL] (The mean of the results at pH 7.4)
555,16188062.0,CC1=CC=C(C=C1)C(=O)OC2C(=C(C(=O)O2)Cl)NC3=CC=C(C=C3)C,2.6 [ug/mL] (The mean of the results at pH 7.4),2.6 [ug/mL] (The mean of the results at pH 7.4)
556,16188074.0,CCC1(NC(=S)C(=N1)C2=CC=CC=C2)CC,>34.9 [ug/mL] (The mean of the results at pH 7.4),>34.9 [ug/mL] (The mean of the results at pH 7.4)
557,16188075.0,CC1CCC2(CC1)NC(=S)C(=N2)C3=CC(=CC(=C3)OC)OC,2.2 [ug/mL] (The mean of the results at pH 7.4),2.2 [ug/mL] (The mean of the results at pH 7.4)
558,16188092.0,COCCCNC(=O)C1CCN(CC1)C2=NN=C(C=C2)N3CCOCC3,>54.5 [ug/mL] (The mean of the results at pH 7.4),>54.5 [ug/mL] (The mean of the results at pH 7.4)
559,16188098.0,CCN1/C(=C/C2=CC=[N+](C3=CC=CC=C23)CC=C)/C=CC4=C1C=CC(=C4)C.[Br-],>53 [ug/mL] (The mean of the results at pH 7.4),>53 [ug/mL] (The mean of the results at pH 7.4)
560,16188104.0,CC1=CSC(=[N+]1C)NC2=CC=CC=C2.[Br-],30.2 [ug/mL] (The mean of the results at pH 7.4),30.2 [ug/mL] (The mean of the results at pH 7.4)
561,16188107.0,C1=CC=C(C(=C1)NC2=NC(=NC(=N2)Cl)Cl)F.Cl,>44.3 [ug/mL] (The mean of the results at pH 7.4),>44.3 [ug/mL] (The mean of the results at pH 7.4)
562,16188110.0,CC1CCC(CC1)NC(=O)CN(C)S(=O)(=O)C2=CN=CN2,>47.2 [ug/mL] (The mean of the results at pH 7.4),>47.2 [ug/mL] (The mean of the results at pH 7.4)
563,16188112.0,CCC1=CC=C(O1)CN2CCC(CC2)(CC3CCCCO3)CO,38.1 [ug/mL] (The mean of the results at pH 7.4),38.1 [ug/mL] (The mean of the results at pH 7.4)
564,16188121.0,CCS(=O)(=O)N1CCN(CC1)CC(=O)NC2CCCCC2.Cl,>53.1 [ug/mL] (The mean of the results at pH 7.4),>53.1 [ug/mL] (The mean of the results at pH 7.4)
565,16188143.0,CC(=CCN1CCN(CC1CCO)CC2=C3C(=CC=C2)N=CC=N3)C,>51.1 [ug/mL] (The mean of the results at pH 7.4),>51.1 [ug/mL] (The mean of the results at pH 7.4)
566,16188150.0,CC1=CC=C(C=C1)CN2C=CC(=N2)NC(=O)C3=NOC(=C3)C4CC4,2.4 [ug/mL] (The mean of the results at pH 7.4),2.4 [ug/mL] (The mean of the results at pH 7.4)
567,16188159.0,CC1CCC(CC1)N2CCNCC2.Cl,>32.8 [ug/mL] (The mean of the results at pH 7.4),>32.8 [ug/mL] (The mean of the results at pH 7.4)
568,16188168.0,CC1=CC=C(C=C1)CN(C)C2=NC3=NON=C3N=C2NCCOC,>49.3 [ug/mL] (The mean of the results at pH 7.4),>49.3 [ug/mL] (The mean of the results at pH 7.4)
569,16188170.0,C1CC(CN(C1)CC2=CC=NN2)(CC3=CC=CC=C3)CO,17.1 [ug/mL] (The mean of the results at pH 7.4),17.1 [ug/mL] (The mean of the results at pH 7.4)
570,16188195.0,CN1C2=CC=CC=C2N=C1CC3=CC=C(C=C3)OC.Cl,42.3 [ug/mL] (The mean of the results at pH 7.4),42.3 [ug/mL] (The mean of the results at pH 7.4)
571,16188206.0,C1CCC(C1)N2CCCC(C2)(CC3=CC=CC=C3)CO,34.1 [ug/mL] (The mean of the results at pH 7.4),34.1 [ug/mL] (The mean of the results at pH 7.4)
572,16188208.0,CCCN(CC1CCCO1)C(=O)CCC2=NN=C(O2)C3=NOC(=C3)C,>52.3 [ug/mL] (The mean of the results at pH 7.4),>52.3 [ug/mL] (The mean of the results at pH 7.4)
573,16188209.0,CCN1CC(CC1=O)CN(C)CC2=C(OC(=N2)C3=CC=CO3)C,>47.6 [ug/mL] (The mean of the results at pH 7.4),>47.6 [ug/mL] (The mean of the results at pH 7.4)
574,16188254.0,CC1=C(C=CC(=C1)Cl)C(=O)C2CCCN(C2)C(=O)C3=COC=C3,35.7 [ug/mL] (The mean of the results at pH 7.4),35.7 [ug/mL] (The mean of the results at pH 7.4)
575,16188261.0,CCOC(=O)C1(CCCN(C1)CCO)CC2=CC=CC=C2,>43.7 [ug/mL] (The mean of the results at pH 7.4),>43.7 [ug/mL] (The mean of the results at pH 7.4)
576,16188268.0,CCN1C=CN=C1CN2CCCC(C2)C(=O)C3=C(C=C(C=C3)OC)OC,48.7 [ug/mL] (The mean of the results at pH 7.4),48.7 [ug/mL] (The mean of the results at pH 7.4)
577,16188273.0,CC1=CC(=CC(=C1OC)C)C(=O)C2CCCN(C2)C3CCOCC3,>49.7 [ug/mL] (The mean of the results at pH 7.4),>49.7 [ug/mL] (The mean of the results at pH 7.4)
578,16188285.0,C1COCCN1CC2=NC(=NO2)CC3=CC(=CC=C3)F,>41.6 [ug/mL] (The mean of the results at pH 7.4),>41.6 [ug/mL] (The mean of the results at pH 7.4)
579,16188287.0,C/C=C(\C)/CN1CCCC(C1)(CC2=CC=CC=C2)CO,34.3 [ug/mL] (The mean of the results at pH 7.4),34.3 [ug/mL] (The mean of the results at pH 7.4)
580,16188288.0,CC1=C(N=C(O1)C2=COC=C2)CN(CC3CCC(=O)N3)C(C)C,38.8 [ug/mL] (The mean of the results at pH 7.4),38.8 [ug/mL] (The mean of the results at pH 7.4)
581,16188295.0,C1CN(CCC1(CC2=CC=CC=C2)CO)CC3=CC=CC=N3,>44.5 [ug/mL] (The mean of the results at pH 7.4),>44.5 [ug/mL] (The mean of the results at pH 7.4)
582,16188296.0,CC1=C2C(=CC=C1)NC(=N2)CN(C)CC3=NC(=NO3)CC4CC4,45.9 [ug/mL] (The mean of the results at pH 7.4),45.9 [ug/mL] (The mean of the results at pH 7.4)
583,16188308.0,C1=CC=C(C=C1)C2=CC=C(C=C2)CNCCNCCO.Cl,>51.5 [ug/mL] (The mean of the results at pH 7.4),>51.5 [ug/mL] (The mean of the results at pH 7.4)
584,16188310.0,CCOC(=O)C1(CCCN(C1)CCO)CC2=CC(=CC=C2)Cl,47.9 [ug/mL] (The mean of the results at pH 7.4),47.9 [ug/mL] (The mean of the results at pH 7.4)
585,16188313.0,C1COCCN1CCCCOC2=CC=C(C=C2)F.Cl,>43.5 [ug/mL] (The mean of the results at pH 7.4),>43.5 [ug/mL] (The mean of the results at pH 7.4)
586,16188325.0,CN(CCOCC=C)C1=NS(=O)(=O)C2=CC=CC=C21.Cl,>47.5 [ug/mL] (The mean of the results at pH 7.4),>47.5 [ug/mL] (The mean of the results at pH 7.4)
587,16188329.0,CC(C)C(C#CCN1CCCCCC1)(C2=CC=CC=C2)O.Cl,>48.3 [ug/mL] (The mean of the results at pH 7.4),>48.3 [ug/mL] (The mean of the results at pH 7.4)
588,16188352.0,C[C@@H]1CN(C[C@@H](O1)C)CC2=C(OC(=N2)C3=C(C=CS3)C)C,>46 [ug/mL] (The mean of the results at pH 7.4),>46 [ug/mL] (The mean of the results at pH 7.4)
589,16188360.0,CC1=NC(=CC=C1)CN2CCCC(C2)C(=O)C3=CC4=C(C=C3)C=C(C=C4)OC,37.7 [ug/mL] (The mean of the results at pH 7.4),37.7 [ug/mL] (The mean of the results at pH 7.4)
590,16188367.0,CC1=CC=C(C=C1)C2=NSC(=N2)SCC(=O)NCC3CCCO3,>52.4 [ug/mL] (The mean of the results at pH 7.4),>52.4 [ug/mL] (The mean of the results at pH 7.4)
591,16188368.0,CCOC(=O)N1CCN(CC1)CC2=C(NN=C2)C3=CC=CC4=CC=CC=C43,31.1 [ug/mL] (The mean of the results at pH 7.4),31.1 [ug/mL] (The mean of the results at pH 7.4)
592,16188373.0,CC(C)CCN1CCN(CC1CCO)CC2=CC(=CC=C2)N3C=CC=N3,48.4 [ug/mL] (The mean of the results at pH 7.4),48.4 [ug/mL] (The mean of the results at pH 7.4)
593,16188375.0,CC(C)CCN1CCN(CC1CCO)CC2=CC=C(C=C2)C(F)(F)F,>53.8 [ug/mL] (The mean of the results at pH 7.4),>53.8 [ug/mL] (The mean of the results at pH 7.4)
594,16188403.0,C1=CC=C(C(=C1)/C=C/C(=O)O/N=C(/C2=CC=NC=C2)\N)Cl,28.2 [ug/mL] (The mean of the results at pH 7.4),
595,16188405.0,CCC1=C2C(=CC=C1)C(CC3(N2)CCCC3)C.Cl,<0.6 [ug/mL] (The mean of the results at pH 7.4),<0.6 [ug/mL] (The mean of the results at pH 7.4)
596,16188417.0,CN(CC1=NC=CN=C1)CC2=NC(=NO2)CC3=CC=CC=C3F,>47 [ug/mL] (The mean of the results at pH 7.4),>47 [ug/mL] (The mean of the results at pH 7.4)
597,16188418.0,C1CCC(C1)N2CCN(CC2CCO)CC3=CSC=C3,>44.2 [ug/mL] (The mean of the results at pH 7.4),>44.2 [ug/mL] (The mean of the results at pH 7.4)
598,16188447.0,CC(C)N1CCNCC1.Cl,23.1 [ug/mL] (The mean of the results at pH 7.4),23.1 [ug/mL] (The mean of the results at pH 7.4)
599,16188457.0,CC(C)OC1=CC=CC(=C1)C(=O)C2CCCN(C2)S(=O)(=O)C,>48.8 [ug/mL] (The mean of the results at pH 7.4),>48.8 [ug/mL] (The mean of the results at pH 7.4)
600,16188468.0,CC1=NN(C=C1CN2CCC(CC2)(CC3=CC(=CC=C3)OC)CO)C,>51.5 [ug/mL] (The mean of the results at pH 7.4),>51.5 [ug/mL] (The mean of the results at pH 7.4)
601,16188481.0,COC1=C(C=C(C=C1)/C=C\2/C(=O)N(C(=N)S2)C3=CC=C(C=C3)F)OC,3.8 [ug/mL] (The mean of the results at pH 7.4),3.8 [ug/mL] (The mean of the results at pH 7.4)
602,16188494.0,CC1=NON=C1C2CCCN2CC3=C(NN=C3)C4=CC5=C(C=C4)OCO5,40.1 [ug/mL] (The mean of the results at pH 7.4),40.1 [ug/mL] (The mean of the results at pH 7.4)
603,16188522.0,CS(=O)(=O)N1CCC(CC1)(CC2=CC=CC=C2C(F)(F)F)CO,48.7 [ug/mL] (The mean of the results at pH 7.4),48.7 [ug/mL] (The mean of the results at pH 7.4)
604,16188524.0,CCOC(=O)CCNC(=O)N1CCCC(C1)CNS(=O)(=O)C2=CC=CS2,>60.5 [ug/mL] (The mean of the results at pH 7.4),>60.5 [ug/mL] (The mean of the results at pH 7.4)
605,16188542.0,CC1=C(SC=C1)C(=O)C2CCCN(C2)CC3=CC=NN3,15.6 [ug/mL] (The mean of the results at pH 7.4),15.6 [ug/mL] (The mean of the results at pH 7.4)
606,16188543.0,C1CN(CC1C2=CC=CC=C2F)CC3=NC(=NO3)COC4=CC=CC=C4,12.7 [ug/mL] (The mean of the results at pH 7.4),12.7 [ug/mL] (The mean of the results at pH 7.4)
607,16188546.0,CC1CCC(CC1)C(=O)NC(CC(C)C)C(=O)NCC2=CC=CO2,25.2 [ug/mL] (The mean of the results at pH 7.4),25.2 [ug/mL] (The mean of the results at pH 7.4)
608,16188553.0,CC(C)CC(C(=O)NC1=CC=CC(=C1)C(=O)C)NC(=O)C2CCCCC2,20.2 [ug/mL] (The mean of the results at pH 7.4),20.2 [ug/mL] (The mean of the results at pH 7.4)
609,16188583.0,CC(C)OC1=CC=CC(=C1)C(=O)C2CCCN(C2)C3CCOCC3,31 [ug/mL] (The mean of the results at pH 7.4),31 [ug/mL] (The mean of the results at pH 7.4)
610,16188584.0,C1CCC(CC1)CCC2=NN=C(O2)CCC(=O)NCC3=NOC=C3,>49.9 [ug/mL] (The mean of the results at pH 7.4),>49.9 [ug/mL] (The mean of the results at pH 7.4)
611,16188586.0,CCC1=NC2=CC=CC=C2N1CCC3=CC=CC=C3.Cl,37.6 [ug/mL] (The mean of the results at pH 7.4),37.6 [ug/mL] (The mean of the results at pH 7.4)
612,16188596.0,COC1=CC=C(C=C1)C2=CC(=NO2)C(=O)NCC3=CC=CS3,0.3 [ug/mL] (The mean of the results at pH 7.4),0.3 [ug/mL] (The mean of the results at pH 7.4)
613,16188597.0,COC1=CC=CC(=C1)C2=CC(=NO2)C(=O)NCC3=CC=CS3,<0.3 [ug/mL] (The mean of the results at pH 7.4),<0.3 [ug/mL] (The mean of the results at pH 7.4)
614,16188599.0,CN1C=C/C(=C\C2=CC=[N+](C3=CC=CC=C23)C)/C4=CC=CC=C41.[I-],40.1 [ug/mL] (The mean of the results at pH 7.4),40.1 [ug/mL] (The mean of the results at pH 7.4)
615,16188622.0,CN(CCN1CCOCC1)CC2=NC(=NO2)C3=CC4=C(C=C3)OCO4,48.5 [ug/mL] (The mean of the results at pH 7.4),48.5 [ug/mL] (The mean of the results at pH 7.4)
616,16188628.0,CN(CC1=NC=CN=C1)CC2=NC(=NO2)CC3=CC(=CC=C3)F,46.3 [ug/mL] (The mean of the results at pH 7.4),46.3 [ug/mL] (The mean of the results at pH 7.4)
617,16188643.0,CCN1CC(CC1=O)CN(C)CC2=NC(=NO2)CC3=CC=CC=C3,>49.3 [ug/mL] (The mean of the results at pH 7.4),>49.3 [ug/mL] (The mean of the results at pH 7.4)
618,16188647.0,CN1C=C(C=N1)CN(C)CC2=NC(=NO2)C3=CC=C(C=C3)Cl,43.8 [ug/mL] (The mean of the results at pH 7.4),43.8 [ug/mL] (The mean of the results at pH 7.4)
619,16188653.0,CC1=CC=C(C=C1)CN2CCN(CC2CCO)CCCN3C=CC=N3,50.8 [ug/mL] (The mean of the results at pH 7.4),50.8 [ug/mL] (The mean of the results at pH 7.4)
